restaurant_name,restaurant_type,rating,num_of_ratings,avg_cost_for_two,online_order,table_booking,cuisines,area,local_address,rating_category
St. Mary'S Cafe,"Takeaway, Delivery",2.8,40,150,No,No,"Cafe, Chinese, South Indian",Indiranagar,Thippasandra,Low Rated
Star Ambur Dum Biryani,Quick Bites,3.2,5,200,No,No,Biryani,Electronic City,Electronic City,Average Rated
Star Biryani & Kebab Centre,Quick Bites,3.4,10,150,No,No,"Biryani, Kebab",Rajajinagar,Rajajinagar,Average Rated
Star Bowl,Delivery,3.7,27,700,Yes,No,"North Indian, Chinese, Rolls",Koramangala 6Th Block,Hsr,Average Rated
Star Briyani,Quick Bites,2.8,40,200,No,No,"Biryani, North Indian",Electronic City,Electronic City,Low Rated
Star Food County,Kiosk,3.4,11,300,Yes,No,Fast Food,New Bel Road,Sanjay Nagar,Average Rated
Star Kitchen,Quick Bites,3.3,9,150,No,No,"Chinese, North Indian, Biryani","Byresandra,Tavarekere,Madiwala",Bommanahalli,Average Rated
Starbucks,Cafe,3.5,6,700,No,No,"Cafe, Desserts",Frazer Town,Commercial Street,Average Rated
Stark Bistro,Casual Dining,3.6,30,850,Yes,Yes,"Continental, North Indian, Chinese, Burger, Pizza, Salad",Hsr,Hsr,Average Rated
Starlite Bakery & Fastfood,Quick Bites,3.7,23,300,Yes,No,"North Indian, Chinese, Rolls, Bakery, Arabian, Charcoal Chicken, Desserts",Banashankari,Jayanagar,Average Rated
Starnese,Casual Dining,3.4,6,800,No,No,"North Indian, Chinese, South Indian",Brookefield,Whitefield,Average Rated
Stars 'N' Stripes,Quick Bites,2.7,77,500,No,No,"North Indian, Chinese, Fast Food",Brigade Road,Mg Road,Low Rated
Starter House,Quick Bites,2.8,40,250,Yes,No,"Chinese, Continental",Brookefield,Whitefield,Low Rated
Status,Casual Dining,3.2,66,600,Yes,No,"North Indian, Chinese",Bannerghatta Road,Bannerghatta Road,Average Rated
Status Bar& Restaurant,Bar,3.3,4,1000,No,No,"Chinese, Finger Food",Lavelle Road,Majestic,Average Rated
Steaming Mugs,Cafe,3.9,240,700,Yes,No,Cafe,Banashankari,Basavanagudi,Average Rated
Step Right Up,Cafe,4.1,152,300,Yes,No,"Cafe, Italian",Brigade Road,Vasanth Nagar,High Rated
Stevie'S,Cafe,4.0,69,500,Yes,No,Cafe,Malleshwaram,Malleshwaram,High Rated
Sticke2Waffles,Dessert Parlor,3.5,40,100,No,No,"Desserts, Ice Cream",Basavanagudi,Basavanagudi,Average Rated
Stiksnax,Quick Bites,2.6,19,300,No,No,Fast Food,Malleshwaram,Malleshwaram,Low Rated
Still Sipping,Cafe,2.8,40,800,Yes,Yes,"Cafe, Continental, Coffee","Byresandra,Tavarekere,Madiwala",Hsr,Low Rated
Stir Fry,Casual Dining,4.0,209,500,No,No,"Chinese, Momos",Brigade Road,Residency Road,High Rated
Stoked!,Cafe,4.3,294,850,No,No,"Cafe, Italian, Pizza",Koramangala 4Th Block,Koramangala 4Th Block,High Rated
Stoned Monkey,Dessert Parlor,3.9,228,500,Yes,No,"Desserts, Ice Cream",Bellandur,Hsr,Average Rated
Stonelicious,Dessert Parlor,4.1,284,300,Yes,No,"Desserts, Ice Cream",Brookefield,Marathahalli,High Rated
Stoner,Dessert Parlor,4.4,2697,550,Yes,No,"Ice Cream, Pizza, Beverages",Mg Road,Indiranagar,High Rated
Stop N Joy,Quick Bites,2.8,40,150,No,No,"Street Food, Beverages","Byresandra,Tavarekere,Madiwala",Btm,Low Rated
Stop 'N' Joy,Quick Bites,3.8,28,150,Yes,No,Fast Food,Banashankari,Banashankari,Average Rated
Stories,"Casual Dining, Bar",4.6,2315,1100,Yes,Yes,"Continental, North Indian, Chinese",Malleshwaram,Rajajinagar,High Rated
Story Time,"Cafe, Quick Bites",3.7,15,500,No,No,"North Indian, South Indian, Andhra, Cafe",Bellandur,Bellandur,Average Rated
Strada Kitchen & Bar,Casual Dining,3.4,7,1000,No,No,"Chinese, North Indian, South Indian",Electronic City,Electronic City,Average Rated
Straight From The Heart,Bakery,3.4,5,300,No,No,"Bakery, Desserts",Koramangala 4Th Block,Koramangala 6Th Block,Average Rated
Strawbees,Bakery,3.8,52,350,Yes,No,"Bakery, Desserts",Marathahalli,Kaggadasapura,Average Rated
Strawberry Moon,"Casual Dining, Bar",3.4,5,1500,No,No,Finger Food,Lavelle Road,Race Course Road,Average Rated
Street Foods By Punjab Grill,Food Court,3.6,19,800,Yes,No,"Street Food, North Indian, Beverages",Bannerghatta Road,Bannerghatta Road,Average Rated
Strikers Sports Bar And Music,Bar,3.8,73,1200,No,Yes,"Continental, North Indian, Chinese",Brigade Road,Shanti Nagar,Average Rated
Stuffd,"Takeaway, Delivery",3.8,32,500,Yes,No,"Continental, North Indian",Indiranagar,Old Airport Road,Average Rated
Sub Spot,Delivery,3.3,4,400,No,No,"Salad, Sandwich",Koramangala 4Th Block,Koramangala 6Th Block,Average Rated
Subham Pal Kitchen,Quick Bites,3.3,10,300,Yes,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 1St Block,Average Rated
Subhash Mess,Mess,3.7,23,200,No,No,North Indian,New Bel Road,New Bel Road,Average Rated
Subway,Food Court,3.6,12,600,Yes,No,"Salad, Fast Food",Bellandur,Bellandur,Average Rated
Subz,Casual Dining,4.2,2022,1000,Yes,Yes,"North Indian, South Indian",Banashankari,Jayanagar,High Rated
Subzero Korner,Quick Bites,3.3,5,250,No,No,Fast Food,Basavanagudi,Basavanagudi,Average Rated
Suchi Ruchi Veg & Non Veg Resturant,Quick Bites,3.2,4,400,No,No,"South Indian, North Indian",Bannerghatta Road,Bannerghatta Road,Average Rated
Suchithra Biryani House,Casual Dining,3.7,287,450,No,No,"Andhra, Biryani, North Indian",Indiranagar,Old Airport Road,Average Rated
Sudhir Vada Pav & Paratha Center,Quick Bites,3.4,11,250,Yes,No,Street Food,Brookefield,Marathahalli,Average Rated
Sufi Restaurant & Cafe,Casual Dining,3.7,105,800,Yes,No,"Iranian, Mughlai, Chinese",Kalyan Nagar,Banaswadi,Average Rated
Sufra Restaurant,Casual Dining,3.7,111,800,Yes,Yes,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Hsr,Average Rated
Sugar & Spice - Taj Mg Road Bengaluru,Dessert Parlor,4.0,79,800,No,No,Desserts,Brigade Road,Mg Road,High Rated
Sugar N Spice,Quick Bites,2.7,16,400,No,No,"Fast Food, Beverages",Kalyan Nagar,Kalyan Nagar,Low Rated
Sugar Rush,Bakery,3.8,39,300,No,No,"Bakery, Desserts",Banashankari,Banashankari,Average Rated
Sugarberryz Cakery,"Takeaway, Delivery",3.9,52,1200,No,No,"Bakery, Desserts",Brigade Road,Commercial Street,Average Rated
Sugarlove,Delivery,3.5,9,1000,No,No,Desserts,Marathahalli,Kaggadasapura,Average Rated
Sugary Bakers - A Boutique Bakery,Bakery,3.5,40,200,No,No,"Bakery, Desserts",Koramangala 6Th Block,Koramangala 3Rd Block,Average Rated
Sukh Sagar,Casual Dining,2.7,182,450,Yes,No,"North Indian, South Indian, Chinese, Beverages",Kalyan Nagar,Kammanahalli,Low Rated
Sukh Sagar Express,Food Court,3.7,89,500,Yes,No,"North Indian, Chinese, Fast Food, Street Food",Malleshwaram,Malleshwaram,Average Rated
Sukh Sagar Food Court,Quick Bites,3.8,54,350,No,No,"North Indian, South Indian, Chinese, Desserts, Street Food",Lavelle Road,Majestic,Average Rated
Sukhi Bhava,Quick Bites,3.6,21,300,Yes,No,"Andhra, Chinese, Biryani",Bellandur,Marathahalli,Average Rated
Sukhi'S Restaurant,Quick Bites,2.7,28,250,No,No,"North Indian, Chinese, Momos",Marathahalli,Marathahalli,Low Rated
Sulaimani Chai,Quick Bites,3.8,21,100,No,No,"Fast Food, Beverages","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Average Rated
Sulemani Chichas,Quick Bites,2.8,40,300,Yes,No,"Biryani, Hyderabadi, Kebab",Kalyan Nagar,Hennur,Low Rated
Sultan - Palace Darbar Restaurant,Quick Bites,3.2,7,400,No,No,"North Indian, Chinese",Kammanahalli,Nagawara,Average Rated
Sultan Rolls & Sandwiches,Quick Bites,3.9,59,300,No,No,"Fast Food, Rolls",New Bel Road,New Bel Road,Average Rated
Sultan Shah'S Restaurant,Quick Bites,3.2,9,200,No,No,North Indian,Brigade Road,Shivajinagar,Average Rated
Sultan'S Biryani,Delivery,2.8,21,700,No,No,"Biryani, North Indian",Indiranagar,Indiranagar,Low Rated
Sultan'S Creams & Faloodas,Dessert Parlor,3.3,4,150,Yes,No,"Ice Cream, Beverages",Frazer Town,Frazer Town,Average Rated
Sultans Of Spice,Casual Dining,4.5,3458,1300,Yes,Yes,"North Indian, Mughlai, Salad","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,High Rated
Sultan'S Restaurant,Quick Bites,3.2,37,200,Yes,No,"Hyderabadi, Biryani",Rajajinagar,Magadi Road,Average Rated
Sumac Resto Cafe,Cafe,2.8,40,400,No,No,"Cafe, Turkish",Kalyan Nagar,Kammanahalli,Low Rated
Sumadhura Foods,Quick Bites,3.5,108,300,Yes,No,"North Indian, Fast Food",New Bel Road,Sahakara Nagar,Average Rated
Sumai Foods,Delivery,3.2,4,350,No,No,"North Indian, Chinese, Fast Food",Hsr,Bommanahalli,Average Rated
Sun Cafe,Quick Bites,3.3,4,300,No,No,"North Indian, Chinese, Rolls",New Bel Road,New Bel Road,Average Rated
Sunaina Sapice,Quick Bites,3.3,7,200,Yes,No,"South Indian, North Indian, Chinese",Malleshwaram,New Bel Road,Average Rated
Sunehri,Casual Dining,3.7,67,500,No,No,South Indian,Brigade Road,Richmond Road,Average Rated
Sunmart Ice Cream Parlour,Dessert Parlor,2.8,40,100,No,No,Ice Cream,New Bel Road,New Bel Road,Low Rated
Sunny Cafe & Kitchen,"Cafe, Casual Dining",3.8,499,700,Yes,Yes,"Cafe, Continental, Beverages, Desserts","Byresandra,Tavarekere,Madiwala",Hsr,Average Rated
Sunny Side Bistro,Cafe,3.7,69,700,No,No,"Cafe, Continental",Indiranagar,Indiranagar,Average Rated
Sunny Spice Chinese Restaurant,Casual Dining,3.3,44,650,Yes,No,"Chinese, Thai, Seafood",Malleshwaram,Rajajinagar,Average Rated
Sunny'S,Casual Dining,2.8,40,2100,No,No,"European, Italian, Seafood, Continental",Old Airport Road,Indiranagar,Low Rated
Sunny'S Kitchen,"Takeaway, Delivery",3.6,62,500,Yes,No,"Continental, American",Koramangala 6Th Block,Hsr,Average Rated
Sunshadow.In,Delivery,3.5,10,400,No,No,"North Indian, Chinese",Marathahalli,Kaggadasapura,Average Rated
Super Chef'S (New Royal Treat),Quick Bites,3.5,40,400,No,No,"North Indian, Chinese, South Indian",Basavanagudi,Bannerghatta Road,Average Rated
Supreme Biryani,Delivery,3.3,18,400,Yes,No,Biryani,Bellandur,South Bangalore,Average Rated
Surabhi Restaurant,Casual Dining,3.5,40,400,No,No,"South Indian, North Indian, Chinese, Desserts, Fast Food, Ice Cream",Koramangala 6Th Block,Hosur Road,Average Rated
Surya Bakery,Bakery,3.5,21,200,No,No,Bakery,Brigade Road,Shanti Nagar,Average Rated
Surya Refreshments,Quick Bites,3.9,40,150,Yes,No,South Indian,Malleshwaram,Malleshwaram,Average Rated
Suryawanshi,Casual Dining,3.7,16,700,Yes,No,"Maharashtrian, Seafood",Bannerghatta Road,Bannerghatta Road,Average Rated
Sutra - The Lalit Ashok Bangalore,Lounge,3.8,273,2200,No,No,"Continental, Chinese",Malleshwaram,Seshadripuram,Average Rated
Sutra Spice-The Resto Bar,Bar,3.8,34,1000,No,No,"South Indian, Andhra",Koramangala 6Th Block,Koramangala 4Th Block,Average Rated
Suvaai Restaurant,Quick Bites,3.3,11,100,Yes,No,South Indian,Indiranagar,Indiranagar,Average Rated
Suvai Factory,Casual Dining,3.7,20,600,Yes,Yes,"North Indian, South Indian, Chinese",Marathahalli,Marathahalli,Average Rated
Suvarna Sree Food Paradise,Quick Bites,2.8,40,400,Yes,No,"South Indian, Chinese, North Indian, Biryani, Kebab, Andhra",Kalyan Nagar,Banaswadi,Low Rated
Sv Crispy Chicken,Quick Bites,3.5,12,200,No,No,Fast Food,Electronic City,Electronic City,Average Rated
Sv Food Garden,Quick Bites,3.5,40,400,No,No,"Chinese, North Indian, South Indian, Hyderabadi",Koramangala 6Th Block,Koramangala 8Th Block,Average Rated
Sv Indian Restaurant,Quick Bites,3.4,12,400,No,No,"North Indian, Chinese",Kammanahalli,Hennur,Average Rated
Sv Juice Corner,Beverage Shop,3.3,6,150,No,No,"Beverages, Fast Food",Jp Nagar,Jp Nagar,Average Rated
Sv Restaurant,Casual Dining,3.1,8,550,Yes,No,"Andhra, North Indian, Chinese, Biryani",Whitefield,Whitefield,Average Rated
Svadu Sweets,"Quick Bites, Sweet Shop",3.3,5,150,No,No,"Street Food, Mithai","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Svadu Sweets & Savouries,"Quick Bites, Sweet Shop",3.7,26,200,No,No,"Street Food, Mithai","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Svi Food And Juice,Quick Bites,2.8,40,250,No,No,North Indian,Brigade Road,Ulsoor,Low Rated
Svkp Daily Fresh,Quick Bites,3.3,5,350,No,No,South Indian,Banashankari,Banashankari,Average Rated
Svr Foods - Night Ka Khana,Delivery,3.5,15,400,No,No,"North Indian, South Indian","Byresandra,Tavarekere,Madiwala",Jp Nagar,Average Rated
Swaad,Quick Bites,3.1,25,200,Yes,No,North Indian,Indiranagar,Jeevan Bhima Nagar,Average Rated
Swaadam Veg,Casual Dining,3.6,34,300,Yes,No,"South Indian, Chinese","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Swaadishta Restaurant,Casual Dining,2.5,60,750,No,No,"Andhra, North Indian, Chinese, Mangalorean",Malleshwaram,Sadashiv Nagar,Low Rated
Swaadpurna,Casual Dining,3.6,51,450,Yes,No,"North Indian, South Indian, Chinese, Biryani",Indiranagar,Jeevan Bhima Nagar,Average Rated
Swad,Casual Dining,3.7,38,500,No,No,"North Indian, Chinese",Electronic City,Electronic City,Average Rated
Swad E Punjab,Casual Dining,3.4,6,600,No,No,North Indian,Brookefield,Whitefield,Average Rated
Swad 'E' Punjab,Casual Dining,3.6,49,500,Yes,No,"North Indian, Chinese, Mughlai","Byresandra,Tavarekere,Madiwala",Hsr,Average Rated
Swad Plaza,Quick Bites,3.4,6,400,Yes,No,"North Indian, Chinese",Bannerghatta Road,Btm,Average Rated
Swad Punjab Da,Quick Bites,3.7,41,150,Yes,No,North Indian,Bannerghatta Road,Btm,Average Rated
Swad Punjabi Dhaba,Quick Bites,3.6,20,300,No,No,North Indian,Marathahalli,Thippasandra,Average Rated
Swad Rajasthani Bhojanalaya,Quick Bites,3.1,7,400,No,No,"North Indian, Fast Food",Whitefield,Whitefield,Average Rated
Swad Restaurant,Casual Dining,3.7,115,500,Yes,No,"North Indian, Chinese, Seafood",Jayanagar,Btm,Average Rated
Swadd Kitchen,Casual Dining,3.4,4,500,Yes,No,"North Indian, Fast Food",Banashankari,Basavanagudi,Average Rated
Swad-Deshi Restaurant,Quick Bites,3.5,13,300,Yes,No,"South Indian, Chinese",Brookefield,Marathahalli,Average Rated
Swadesh Tadka,Casual Dining,3.5,179,600,Yes,No,"North Indian, Chinese, Beverages",Banashankari,Banashankari,Average Rated
Swadh Biryani Tandoori Spot,Quick Bites,2.8,40,200,No,No,"Biryani, Fast Food",Malleshwaram,Malleshwaram,Low Rated
Swadisht Inn,Casual Dining,3.5,15,700,No,No,"Andhra, South Indian, Biryani, North Indian, Mangalorean",Malleshwaram,Rajajinagar,Average Rated
Swadisht North Indian Restaurant,Quick Bites,3.2,23,200,No,No,North Indian,Hsr,Hsr,Average Rated
Swadishta,Quick Bites,3.4,7,200,No,No,"South Indian, Chinese, North Indian",Whitefield,Whitefield,Average Rated
Swadist Pakhal Restaurant,Casual Dining,3.5,16,550,Yes,No,"North Indian, Chinese, Bengali",Sarjapur Road,Sarjapur Road,Average Rated
Swadist Restaurant,Quick Bites,3.4,16,300,No,No,"Oriya, South Indian, Fast Food",Marathahalli,Marathahalli,Average Rated
Swadista Aahar,Quick Bites,4.1,775,300,Yes,No,"South Indian, North Indian, Chinese, Street Food",Bannerghatta Road,Btm,High Rated
Swagatham Delux - Rayalaseema Spices,Casual Dining,3.4,24,600,Yes,No,"Biryani, South Indian, Chinese",Kalyan Nagar,Nagawara,Average Rated
Swarga Ruchi,Quick Bites,3.3,10,200,Yes,No,South Indian,Banashankari,Basavanagudi,Average Rated
Swasthaa,Casual Dining,2.8,40,600,No,No,"Continental, Desserts, Italian, Japanese, Mexican",Brigade Road,Sanjay Nagar,Low Rated
Swasthi Spice Restaurant,Casual Dining,3.4,589,600,Yes,No,"Andhra, North Indian, Chinese, Biryani",Malleshwaram,Rajajinagar,Average Rated
Swathi,Casual Dining,3.8,591,700,Yes,No,"Andhra, North Indian, Chinese",Malleshwaram,Rajajinagar,Average Rated
Swathi Delux,Casual Dining,3.2,11,450,No,No,"North Indian, Chinese, Andhra",Rajajinagar,Majestic,Average Rated
Swathi Deluxe,Casual Dining,3.9,218,750,Yes,Yes,"North Indian, Seafood, Chinese, Biryani",Bellandur,Marathahalli,Average Rated
Swathi Deluxe Restaurant,Casual Dining,2.9,75,500,Yes,No,North Indian,Lavelle Road,Shanti Nagar,Low Rated
Swathi Greenland,"Casual Dining, Bar",3.7,174,800,Yes,No,"Andhra, North Indian, Chinese",Rajajinagar,Vijay Nagar,Average Rated
Swathi Maharaja,Casual Dining,3.7,291,750,Yes,Yes,"Andhra, North Indian, Chinese, Biryani","Byresandra,Tavarekere,Madiwala",Koramangala 4Th Block,Average Rated
Swathi Restaurant,Casual Dining,3.8,34,600,No,No,"Chinese, North Indian, South Indian",Rajajinagar,Seshadripuram,Average Rated
Swathi Restaurant - The Vintage Inn,Casual Dining,3.8,36,900,Yes,No,"Andhra, North Indian",Electronic City,Electronic City,Average Rated
Swathi Spice N Ice,Casual Dining,3.5,165,700,Yes,No,"Andhra, North Indian, Chinese",Hsr,Hsr,Average Rated
Swathi Upahara,Quick Bites,3.5,40,350,No,No,"Biryani, Kebab, Chinese",Basavanagudi,Basavanagudi,Average Rated
Swati Cafe,Cafe,2.9,8,500,No,No,"Cafe, Fast Food",Basavanagudi,Shanti Nagar,Low Rated
Sweet Alley,"Takeaway, Delivery",3.4,6,400,No,No,Desserts,Brookefield,Marathahalli,Average Rated
Sweet Chariot,Bakery,2.7,19,500,No,No,"Bakery, Fast Food",New Bel Road,New Bel Road,Low Rated
Sweet Chariot Cafe,Dessert Parlor,3.8,113,500,Yes,No,"Continental, Fast Food, Beverages, Desserts",Brigade Road,Residency Road,Average Rated
Sweet Moments Express,"Sweet Shop, Quick Bites",3.7,18,200,Yes,No,"Mithai, Street Food",Kalyan Nagar,Kammanahalli,Average Rated
Sweet N Swirl,Dessert Parlor,3.2,17,150,No,No,"Desserts, Ice Cream",Banashankari,Banashankari,Average Rated
Sweet Nothings Couture Cupcakes,"Takeaway, Delivery",3.4,6,250,No,No,"Desserts, Bakery",Whitefield,Whitefield,Average Rated
Sweet Revenge,"Bakery, Quick Bites",3.3,9,300,No,No,"Bakery, Fast Food",Electronic City,Electronic City,Average Rated
Sweet Revenge Bake N Cafe,Quick Bites,2.8,40,200,No,No,"Bakery, Fast Food, Cafe",Electronic City,Electronic City,Low Rated
Sweet Tooth - Do You Have One?,"Takeaway, Delivery",3.3,4,600,No,No,"Bakery, Desserts",Whitefield,Whitefield,Average Rated
Sweet Truth,Bakery,2.8,40,500,Yes,No,"Bakery, Desserts",Basavanagudi,Basavanagudi,Low Rated
Swing,"Casual Dining, Bar",3.8,201,1000,No,Yes,"North Indian, Chinese, Mangalorean",Indiranagar,Indiranagar,Average Rated
Swiss Bakery Cafe - Gokulam Grand Hotel & Spa,"Cafe, Bakery",3.3,6,400,No,No,"Cafe, Bakery",New Bel Road,New Bel Road,Average Rated
Symas,Quick Bites,3.7,34,200,Yes,No,"Fast Food, Beverages",Malleshwaram,Rt Nagar,Average Rated
Szechuan Dragon,Casual Dining,4.2,1647,600,Yes,No,"Chinese, Thai, Momos",Banashankari,Banashankari,High Rated
Szechwan Court - The Oberoi,Fine Dining,4.1,168,2500,No,No,Chinese,Brigade Road,Mg Road,High Rated
T Square,Quick Bites,3.2,4,150,Yes,No,"Fast Food, Street Food",Bellandur,Sarjapur Road,Average Rated
T.A.K - That Affordable Kitchen,"Takeaway, Delivery",3.2,4,400,Yes,No,"Continental, North Indian",Bellandur,Hsr,Average Rated
T3H Cafe,Cafe,3.9,93,300,No,No,"Cafe, Italian, American",Banashankari,Banashankari,Average Rated
T4U Cafe,Quick Bites,3.6,17,400,No,No,"Chinese, Fast Food, Beverages",Kalyan Nagar,Banaswadi,Average Rated
Ta'Aam,Casual Dining,4.1,402,750,Yes,No,"North Indian, Mughlai, Arabian, Chinese",Brigade Road,Cunningham Road,High Rated
Taantraa - Organic Handbaking,Delivery,3.7,28,350,No,No,"Bakery, Desserts",Old Airport Road,Indiranagar,Average Rated
Taaza Mithai,Sweet Shop,3.8,47,100,Yes,No,"Mithai, Street Food","Byresandra,Tavarekere,Madiwala",Jp Nagar,Average Rated
Taaza Thindi,Quick Bites,4.7,651,100,No,No,South Indian,Banashankari,Banashankari,High Rated
Tab - Take A Break,Cafe,4.1,521,550,No,No,"Cafe, Continental, Italian",Bannerghatta Road,Jp Nagar,High Rated
Taco Bell,Quick Bites,3.7,168,600,Yes,No,"Mexican, American, Fast Food",Bannerghatta Road,Bannerghatta Road,Average Rated
Tadka Punjabi Restaurant,Quick Bites,3.3,9,300,Yes,No,North Indian,Whitefield,Whitefield,Average Rated
Tadka Singh,Casual Dining,3.4,946,400,No,No,North Indian,Indiranagar,Indiranagar,Average Rated
Tadkawala,"Takeaway, Delivery",3.4,71,200,Yes,No,North Indian,Frazer Town,Vasanth Nagar,Average Rated
Taiki,Casual Dining,2.8,40,1000,Yes,Yes,"Asian, Japanese, Korean, Thai, Sushi",Indiranagar,Indiranagar,Low Rated
Taipan,Casual Dining,3.5,126,700,Yes,No,"Chinese, Momos",Brigade Road,Frazer Town,Average Rated
Taishty,Quick Bites,3.7,66,200,Yes,No,North Indian,Whitefield,Whitefield,Average Rated
Taiyvan'S,Casual Dining,3.7,101,500,Yes,No,"Chinese, Thai, Seafood, Malaysian",Malleshwaram,Rt Nagar,Average Rated
Taj Darbar,Casual Dining,3.8,149,600,Yes,No,"Biryani, Mughlai, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Average Rated
Taj Durbar,Quick Bites,3.8,83,400,No,No,"North Indian, Bbq","Byresandra,Tavarekere,Madiwala",Jayanagar,Average Rated
Taj Hotel,Casual Dining,3.7,110,550,Yes,No,"North Indian, Chinese",Church Street,Shivajinagar,Average Rated
Taj Restaurant,Quick Bites,3.8,68,400,No,No,"North Indian, Biryani",Basavanagudi,City Market,Average Rated
Take 5,Lounge,3.5,10,1300,No,No,"Chinese, Continental, Steak",Indiranagar,Indiranagar,Average Rated
Take A Break,Casual Dining,3.4,7,600,No,No,North Indian,Basavanagudi,Shanti Nagar,Average Rated
Take Eat Easy,"Takeaway, Delivery",3.6,20,200,Yes,No,North Indian,Bellandur,Sarjapur Road,Average Rated
Take It!,Delivery,3.1,39,450,Yes,No,"Continental, Chinese, Fast Food",Brookefield,Marathahalli,Average Rated
Take Us Away,Delivery,3.5,40,400,No,No,Continental,Koramangala 6Th Block,Koramangala 5Th Block,Average Rated
Talk Ease,Cafe,3.1,10,200,No,No,Cafe,Brigade Road,City Market,Average Rated
Talk Over Table,Cafe,4.0,282,500,No,No,Cafe,Indiranagar,Jeevan Bhima Nagar,High Rated
Talk Over Table Cafe,Cafe,3.7,85,500,No,No,"Cafe, Italian, Beverages",Hsr,Hsr,Average Rated
Talk To The Hand,Bar,3.3,4,900,No,No,"Chinese, North Indian",Lavelle Road,Majestic,Average Rated
Tall Blonde French,Quick Bites,3.6,82,400,Yes,No,Fast Food,Marathahalli,Brookefield,Average Rated
Tamarind,Casual Dining,2.7,227,750,Yes,No,"Chinese, North Indian, Continental",Kalyan Nagar,Rammurthy Nagar,Low Rated
Tamarind - Tamarind Hospitality,Casual Dining,3.9,611,750,Yes,No,"Chinese, Continental, North Indian",Kalyan Nagar,Banaswadi,Average Rated
Tandoor,Fine Dining,3.9,1360,2100,Yes,Yes,North Indian,Indiranagar,Mg Road,Average Rated
Tandoor And Spice,Casual Dining,4.0,180,550,Yes,No,"North Indian, Chinese, Biryani, Hyderabadi",Bannerghatta Road,Jp Nagar,High Rated
Tandoor Bhatti,Quick Bites,2.8,40,300,Yes,No,"North Indian, Fast Food",Kalyan Nagar,Rammurthy Nagar,Low Rated
Tandoor Box,Casual Dining,3.5,69,850,Yes,No,"Mughlai, North Indian, Biryani",Brookefield,Brookefield,Average Rated
Tandoor Chai House,Quick Bites,2.8,40,200,Yes,No,"Street Food, Sandwich, Rolls, Beverages",Bannerghatta Road,Jp Nagar,Low Rated
Tandoor Da Funda,Quick Bites,3.6,15,350,No,No,North Indian,Brigade Road,Mg Road,Average Rated
Tandoor Garden,Quick Bites,3.6,70,350,Yes,No,"North Indian, Chinese, Kebab",Bannerghatta Road,Btm,Average Rated
Tandoor Hub & Golmaal Paratha,Quick Bites,3.2,4,450,No,No,North Indian,"Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Tandoor Hut,Casual Dining,2.2,90,750,No,No,"North Indian, Chinese",Bannerghatta Road,Bannerghatta Road,Low Rated
Tandoor Merchant,"Takeaway, Delivery",3.4,22,500,Yes,No,"North Indian, Chinese, Fast Food","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Tandoor Nation,Quick Bites,3.0,39,400,Yes,No,"North Indian, Chinese",Bannerghatta Road,Btm,Average Rated
Tandoor-De-Naal,"Takeaway, Delivery",3.8,35,200,No,No,Fast Food,"Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Tandoori Bytes,Casual Dining,3.6,59,700,Yes,No,North Indian,Banashankari,Kumaraswamy Layout,Average Rated
Tandoori Chowk,Quick Bites,3.5,98,400,Yes,No,"North Indian, Chinese",Marathahalli,Marathahalli,Average Rated
Tandoori Club,Casual Dining,2.8,40,750,Yes,No,"North Indian, Chinese, Continental",Bellandur,Hsr,Low Rated
Tandoori Delight,Quick Bites,3.0,46,300,Yes,No,"North Indian, Chinese",New Bel Road,New Bel Road,Average Rated
Tandoori Junction,Quick Bites,3.9,81,400,Yes,No,"North Indian, Chinese, Biryani",Brookefield,Marathahalli,Average Rated
Tandoori Knight,Quick Bites,3.0,290,450,Yes,No,"North Indian, Chinese, Biryani, Kebab",Banashankari,Banashankari,Average Rated
Tandoori Paradise,Delivery,3.5,8,600,Yes,No,"North Indian, Chinese",Bannerghatta Road,Btm,Average Rated
Tandoori Spot,Quick Bites,3.5,13,500,No,No,"North Indian, Chinese",Bannerghatta Road,Jp Nagar,Average Rated
Tandoori Taal,Casual Dining,4.3,1788,900,Yes,Yes,"Biryani, North Indian",Indiranagar,Indiranagar,High Rated
Tandoorinn,Quick Bites,3.2,5,300,No,No,"Biryani, Mughlai, Chinese",Indiranagar,Old Madras Road,Average Rated
Tandooriwala,"Food Court, Quick Bites",2.7,24,700,Yes,No,"North Indian, Mughlai",Brookefield,Whitefield,Low Rated
Tandurust,"Takeaway, Delivery",3.6,27,300,No,No,"North Indian, South Indian",Bellandur,Bellandur,Average Rated
Tang Of Jamaica,Casual Dining,3.4,28,900,No,No,"American, Mexican, Bbq",Kalyan Nagar,Kalyan Nagar,Average Rated
